Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000056296,Synpr,Gene Expression,0.6076587539017215,0.0,0.0,11379,3.9122916293149883,2164
ENSMUSG00000007207,Stx1a,Gene Expression,0.6076554584092231,0.0,0.0,9118,2.640148555408083,1983
ENSMUSG00000028161,Ppp3ca,Gene Expression,0.6061077666437241,0.0,0.0,52302,17.116458266603367,2750
ENSMUSG00000032503,Arpp21,Gene Expression,0.6023324094596523,0.0,0.0,22050,7.442653135650941,2536
ENSMUSG00000064363,mt-Nd4,Gene Expression,0.6019217202796611,0.0,0.0,734828,263.4053479696617,2823
ENSMUSG00000056486,Chn1,Gene Expression,0.5978875562011491,0.0,0.0,39418,11.836796925030473,2702
ENSMUSG00000049556,Lingo1,Gene Expression,0.5976581305372952,0.0,0.0,13051,3.7574354824627387,2188
ENSMUSG00000027523,Gnas,Gene Expression,0.5919691830027268,0.0,0.0,82843,26.830059678722915,2820
ENSMUSG00000064345,mt-Nd2,Gene Expression,0.5882231866397207,0.0,0.0,536125,193.04472289829175,2823
ENSMUSG00000027375,Mal,Gene Expression,0.5871003060229301,0.0,0.0,11679,5.904471233254461,2349
ENSMUSG00000027827,Kcnab1,Gene Expression,0.5853821948256029,0.0,0.0,5347,1.8775840578261522,1696
ENSMUSG00000028832,Stmn1,Gene Expression,0.5833782817349993,0.0,0.0,52808,16.774055152630048,2801
ENSMUSG00000022425,Enpp2,Gene Expression,0.5801978049152693,0.0,0.0,15529,6.207740386969136,2479
ENSMUSG00000026051,Ecrg4,Gene Expression,0.575499466627839,0.0,0.0,1416,0.5494347402096154,369
ENSMUSG00000074006,Omp,Gene Expression,0.5744274493149997,0.0,0.0,229,0.15080735060533024,142
ENSMUSG00000030307,Slc6a11,Gene Expression,0.5718809326761551,0.0,0.0,5785,2.2823992250542124,1851
ENSMUSG00000006930,Hap1,Gene Expression,0.5712760354983786,0.0,0.0,6244,2.059090466445181,1746
ENSMUSG00000027273,Snap25,Gene Expression,0.5709108115396037,0.0,0.0,130192,38.8259042708307,2803
ENSMUSG00000061086,Myl4,Gene Expression,0.5645220322337251,0.0,0.0,2988,0.8496783492552018,1031
ENSMUSG00000007656,Arpp19,Gene Expression,0.5634887044883916,0.0,0.0,24983,8.252432598531694,2670
ENSMUSG00000005716,Pvalb,Gene Expression,0.5619406000743516,0.0,0.0,9066,3.60182859063409,1936
ENSMUSG00000001120,Pcbp3,Gene Expression,0.5608983907887637,0.0,0.0,5583,1.911744435659225,1787
ENSMUSG00000045763,Basp1,Gene Expression,0.5603130038230376,0.0,0.0,36069,10.906200709600839,2683
ENSMUSG00000035033,Tbr1,Gene Expression,0.560207390795036,0.0,0.0,4385,1.2039929216888667,1344
ENSMUSG00000005583,Mef2c,Gene Expression,0.5600902691219198,0.0,0.0,12403,3.649418644022482,2267
ENSMUSG00000039195,1110008P14Rik,Gene Expression,0.5600886314801568,0.0,0.0,25042,7.509749049192439,2643
ENSMUSG00000026259,Ngef,Gene Expression,0.5573080283684598,0.0,0.0,16982,5.483630873189094,2454
ENSMUSG00000026385,Dbi,Gene Expression,0.5565942278034072,0.0,0.0,33703,13.5144069124368,2815
ENSMUSG00000028222,Calb1,Gene Expression,0.5557919577513271,0.0,0.0,6753,2.286538173939789,1843
ENSMUSG00000030772,Dkk3,Gene Expression,0.5547360551714743,0.0,0.0,6590,1.9757405416547371,1778
ENSMUSG00000001270,Ckb,Gene Expression,0.5545204379567481,0.0,0.0,128837,45.14376548662426,2821
ENSMUSG00000002985,Apoe,Gene Expression,0.5541037329019544,0.0,0.0,123635,49.756364736119416,2821
ENSMUSG00000020431,Adcy1,Gene Expression,0.5529473541026658,0.0,0.0,9789,2.9191202116133375,2103
ENSMUSG00000036634,Mag,Gene Expression,0.5515791753453334,0.0,0.0,9806,4.867600812582282,2284
ENSMUSG00000025723,Nmb,Gene Expression,0.5512143732177496,0.0,0.0,1296,0.5163579346152863,578
ENSMUSG00000006782,Cnp,Gene Expression,0.5502120401344414,0.0,0.0,14458,7.163232352629106,2557
ENSMUSG00000076498,Trbc2,Gene Expression,0.5499066051197073,0.0,0.0,1958,0.5564253892717983,795
ENSMUSG00000054871,Tmem158,Gene Expression,0.5476050121347045,0.0,0.0,9079,3.123635163123405,2171
ENSMUSG00000115625,2900040C04Rik,Gene Expression,0.5472270762426943,0.0,0.0,566,0.22101254732527056,185
ENSMUSG00000037625,Cldn11,Gene Expression,0.5455328560423311,0.0,0.0,7944,4.10497393306198,2085
ENSMUSG00000032446,Eomes,Gene Expression,0.5415325253944749,0.0,0.0,736,0.3139396227794273,319
ENSMUSG00000037984,Neurod6,Gene Expression,0.5404533827743919,0.0,0.0,2873,0.8198745784249301,1061
ENSMUSG00000046922,Gpr6,Gene Expression,0.540377229017953,0.0,0.0,1425,0.5279765156365127,661
ENSMUSG00000027210,Meis2,Gene Expression,0.5382110147908524,0.0,0.0,9542,3.3712557716573026,2224
ENSMUSG00000046093,Hpcal4,Gene Expression,0.5376877265314063,0.0,0.0,17585,5.460235384289802,2472
ENSMUSG00000070880,Gad1,Gene Expression,0.533143199010394,0.0,0.0,25748,9.174773978265378,2650
ENSMUSG00000015806,Qdpr,Gene Expression,0.5329674743567037,0.0,0.0,13678,6.309747434573531,2599
ENSMUSG00000038530,Rgs4,Gene Expression,0.531398893011051,0.0,0.0,15590,5.108625032803846,2438
ENSMUSG00000026930,Gpsm1,Gene Expression,0.531294936468862,0.0,0.0,4710,1.6101209502561602,1588
ENSMUSG00000041911,Dlx1,Gene Expression,0.530348051654391,0.0,0.0,1851,0.6485601530059868,790
ENSMUSG00000048562,Sp8,Gene Expression,0.5254462348530994,0.0,0.0,908,0.3329646338577243,458
ENSMUSG00000025582,Nptx1,Gene Expression,0.5246795456997658,0.0,0.0,7306,2.0882828083585405,1796
ENSMUSG00000047507,Baiap3,Gene Expression,0.524656325226991,0.0,0.0,898,0.2917634570364429,426
ENSMUSG00000030854,Ptpn5,Gene Expression,0.5242836504201249,0.0,0.0,10046,3.43498226989234,2252
ENSMUSG00000001175,Calm1,Gene Expression,0.5223563834401949,0.0,0.0,116096,37.381172177361364,2821
ENSMUSG00000032060,Cryab,Gene Expression,0.5220032606745008,0.0,0.0,12188,5.5959699879333655,2528
ENSMUSG00000048644,Ctxn1,Gene Expression,0.5205343659651358,0.0,0.0,29992,9.215008914071047,2622
ENSMUSG00000038718,Pbx3,Gene Expression,0.5201627339495377,0.0,0.0,3280,1.16667778038425,1274
ENSMUSG00000036438,Calm2,Gene Expression,0.516632730484379,0.0,0.0,120807,37.92664742188592,2816
ENSMUSG00000031980,Agt,Gene Expression,0.515008484723186,0.0,0.0,1622,0.881733989893671,860
ENSMUSG00000025738,Fbxl16,Gene Expression,0.5137996948466347,0.0,0.0,27746,8.9962669681092,2661
ENSMUSG00000030701,Plekhb1,Gene Expression,0.5130257164369179,0.0,0.0,12183,5.908681319025787,2613
ENSMUSG00000007944,Ttc9b,Gene Expression,0.5117391068876206,0.0,0.0,16624,4.901680487793256,2468
ENSMUSG00000053025,Sv2b,Gene Expression,0.5108916476350261,0.0,0.0,10210,2.9237534835329844,2098
ENSMUSG00000059173,Pde1a,Gene Expression,0.50910794816814,0.0,0.0,5483,1.5463435324066792,1642
ENSMUSG00000024524,Gnal,Gene Expression,0.5079987686291414,0.0,0.0,7714,2.6517755720491074,2082
ENSMUSG00000022212,Cpne6,Gene Expression,0.5076710771945491,0.0,0.0,7487,2.363291243309778,1931
ENSMUSG00000032246,Calml4,Gene Expression,0.5064004199075788,0.0,0.0,307,0.11551538017932843,120
ENSMUSG00000032735,Ablim3,Gene Expression,0.5061540600827924,0.0,0.0,1741,0.5702309710481743,854
ENSMUSG00000030223,Ptpro,Gene Expression,0.5036447435658945,0.0,0.0,3278,1.1054859229179907,1290
ENSMUSG00000030102,Itpr1,Gene Expression,0.5029353572429087,0.0,0.0,13362,4.253099628660153,2405
ENSMUSG00000022548,Apod,Gene Expression,0.49994203821874,0.0,0.0,14136,7.512391271481844,2519
ENSMUSG00000015843,Rxrg,Gene Expression,0.49872637851487417,0.0,0.0,1809,0.6735257082284446,892
ENSMUSG00000044349,Snhg11,Gene Expression,0.4982736711370877,0.0,0.0,41867,12.867958991949138,2710
ENSMUSG00000028266,Lmo4,Gene Expression,0.4967269301043823,0.0,0.0,14096,4.289074250172164,2350
ENSMUSG00000038244,Mical2,Gene Expression,0.49667025725077285,0.0,0.0,5653,1.6517578494148548,1755
ENSMUSG00000041571,Selenow,Gene Expression,0.49608226625774016,0.0,0.0,94559,31.49802011192298,2821
ENSMUSG00000031285,Dcx,Gene Expression,0.4945125774263984,0.0,0.0,1361,0.4466329956502144,684
ENSMUSG00000027296,Itpka,Gene Expression,0.4942473685520833,0.0,0.0,7789,2.405059275491719,2042
ENSMUSG00000032564,Cpne4,Gene Expression,0.49289242904023367,0.0,0.0,4058,1.274538427180508,1427
ENSMUSG00000059213,Ddn,Gene Expression,0.4924410862833588,0.0,0.0,17762,5.825028038651146,2575
ENSMUSG00000033953,Ppp3r1,Gene Expression,0.4916041684741148,0.0,0.0,27572,8.481707504417454,2651
ENSMUSG00000019194,Scn1b,Gene Expression,0.490926159448594,0.0,0.0,28868,8.680264652281359,2690
ENSMUSG00000034825,Nrip3,Gene Expression,0.4905226407130551,0.0,0.0,5491,1.8586675148425496,1796
ENSMUSG00000027270,Lamp5,Gene Expression,0.4900148314981192,0.0,0.0,7638,2.3781971162646873,2022
ENSMUSG00000037206,Islr,Gene Expression,0.4898584052952547,0.0,0.0,1320,0.6129569645102063,661
ENSMUSG00000051359,Ncald,Gene Expression,0.4894806997898158,0.0,0.0,12290,3.721291124065737,2329
ENSMUSG00000000632,Sez6,Gene Expression,0.4875551590373561,0.0,0.0,12688,4.245620871636802,2429
ENSMUSG00000018965,Ywhah,Gene Expression,0.4862221605352898,0.0,0.0,50979,15.358057607862076,2783
ENSMUSG00000076439,Mog,Gene Expression,0.485458878497025,0.0,0.0,4639,2.3179196446165857,1753
ENSMUSG00000067786,Nnat,Gene Expression,0.48509584194768796,0.0,0.0,8576,3.4196024113519075,2126
ENSMUSG00000031837,Necab2,Gene Expression,0.4849900078799172,0.0,0.0,5357,1.8788101223840215,1799
ENSMUSG00000037996,Slc24a2,Gene Expression,0.4849642119698616,0.0,0.0,11708,3.57461994880635,2277
ENSMUSG00000025867,Cplx2,Gene Expression,0.48362234366829004,0.0,0.0,19929,6.263083615676419,2572
ENSMUSG00000043811,Rtn4r,Gene Expression,0.4814470972291954,0.0,0.0,3511,1.000879177980849,1323
ENSMUSG00000054162,Spock3,Gene Expression,0.48127604359317194,0.0,0.0,7245,2.6786263298005077,2080
ENSMUSG00000056812,St8sia3,Gene Expression,0.48008187813046815,0.0,0.0,7216,2.470429826408136,2074
ENSMUSG00000025855,Prkar1b,Gene Expression,0.47947682656362983,0.0,0.0,25989,7.814631491022001,2657
ENSMUSG00000029223,Uchl1,Gene Expression,0.4785305927063814,0.0,0.0,50892,15.998343730606456,2794
ENSMUSG00000021087,Rtn1,Gene Expression,0.47779707483207473,0.0,0.0,73406,22.620493613514743,2790
ENSMUSG00000003279,Dlgap1,Gene Expression,0.4768069636801668,0.0,0.0,12783,3.9980498957281365,2384
ENSMUSG00000027858,Tspan2,Gene Expression,0.4760739350230292,0.0,0.0,5415,2.670734896069353,1922
ENSMUSG00000040373,Cacng5,Gene Expression,0.4747513265461642,0.0,0.0,1404,0.4912128611979073,737
ENSMUSG00000024479,Mal2,Gene Expression,0.4737377187933697,0.0,0.0,6603,1.9705757234472385,1895
ENSMUSG00000001827,Folr1,Gene Expression,0.47309968989230133,0.0,0.0,433,0.17239062484309853,166
ENSMUSG00000029309,Sparcl1,Gene Expression,0.4727293664673217,0.0,0.0,61735,22.34747547300943,2816
ENSMUSG00000022949,Clic6,Gene Expression,0.47249060104390206,0.0,0.0,766,0.28437753243907454,345
ENSMUSG00000052889,Prkcb,Gene Expression,0.47146060698999304,0.0,0.0,20533,6.421143290143521,2583
ENSMUSG00000019890,Nts,Gene Expression,0.4704830637916841,0.0,0.0,1255,0.3805313059906738,501
ENSMUSG00000038805,Six3,Gene Expression,0.46997193679592014,0.0,0.0,1501,0.6292630476185426,699
ENSMUSG00000039672,Kcne2,Gene Expression,0.4686082867543906,0.0,0.0,165,0.06283347894808619,78
ENSMUSG00000025372,Baiap2,Gene Expression,0.46691416137944286,0.0,0.0,14792,4.7632791275131,2457
ENSMUSG00000036578,Fxyd7,Gene Expression,0.46631305532812123,0.0,0.0,10632,3.1896786627569607,2230
ENSMUSG00000036699,Zcchc12,Gene Expression,0.4661222451977955,0.0,0.0,4069,1.3471671787795305,1532
ENSMUSG00000056025,Clca3a1,Gene Expression,0.4660406807940458,0.0,0.0,108,0.0850076228466292,67
ENSMUSG00000039809,Gabbr2,Gene Expression,0.4656749652888643,0.0,0.0,7875,2.3323046314410987,2039
ENSMUSG00000020894,Vamp2,Gene Expression,0.46482359878039387,0.0,0.0,51285,16.207984138686935,2794
ENSMUSG00000029608,Rph3a,Gene Expression,0.46463025241958317,0.0,0.0,9206,2.7937355153825165,2165
ENSMUSG00000046442,Ppm1e,Gene Expression,0.4638977054280959,0.0,0.0,7009,2.1826917430298516,2030
ENSMUSG00000037771,Slc32a1,Gene Expression,0.4622623882113691,0.0,0.0,10046,3.5111371201106474,2289
ENSMUSG00000034570,Inpp5j,Gene Expression,0.46182091519073803,0.0,0.0,4146,1.4419180934512876,1588
ENSMUSG00000021268,Meg3,Gene Expression,0.46103715787441313,0.0,0.0,51716,16.230788509613514,2735
ENSMUSG00000058488,Kl,Gene Expression,0.4592709940236102,0.0,0.0,657,0.24832763509270758,251
ENSMUSG00000042109,Csdc2,Gene Expression,0.4590832045975895,0.0,0.0,6294,2.1875899869767825,2056
ENSMUSG00000076617,Ighm,Gene Expression,0.45864861301685894,0.0,0.0,1909,0.5589190307439474,824
ENSMUSG00000067571,Ms4a15,Gene Expression,0.45763115725147824,0.0,0.0,644,0.2568452950620006,313
ENSMUSG00000013523,Bcas1,Gene Expression,0.45730973179766216,0.0,0.0,6005,2.895700701800486,2054
ENSMUSG00000042793,Lgr6,Gene Expression,0.4572388049699889,0.0,0.0,704,0.25697140108291305,358
ENSMUSG00000004366,Sst,Gene Expression,0.45683285684750646,0.0,0.0,25400,7.887141543015225,2375
ENSMUSG00000015090,Ptgds,Gene Expression,0.4566245153302051,0.0,0.0,67112,33.93666381488845,2816
ENSMUSG00000025203,Scd2,Gene Expression,0.4551784779381589,0.0,0.0,47765,18.97730657055657,2818
ENSMUSG00000037855,Zfp365,Gene Expression,0.4546930618176821,0.0,0.0,13338,4.216006177870104,2455
ENSMUSG00000040479,Dgkz,Gene Expression,0.4533544279372389,0.0,0.0,12822,3.949894159240707,2436
ENSMUSG00000041708,Mpped1,Gene Expression,0.45331567406741236,0.0,0.0,4473,1.3013594339369834,1620
ENSMUSG00000035864,Syt1,Gene Expression,0.4530561603668924,0.0,0.0,38058,11.538253921003506,2713
ENSMUSG00000018593,Sparc,Gene Expression,0.4526064272596334,0.0,0.0,13171,5.480140655490806,2634
ENSMUSG00000034891,Sncb,Gene Expression,0.452502901778595,0.0,0.0,27534,8.550729491406777,2705
ENSMUSG00000018451,6330403K07Rik,Gene Expression,0.4521661316194682,0.0,0.0,21755,6.891919900556298,2624
ENSMUSG00000046982,Tshz1,Gene Expression,0.4506546697832338,0.0,0.0,3258,1.124328394963072,1342
ENSMUSG00000027447,Cst3,Gene Expression,0.4498855676414425,0.0,0.0,193151,71.62570439664576,2821
ENSMUSG00000027400,Pdyn,Gene Expression,0.4498224897200457,0.0,0.0,2841,0.9204551805229025,1089
ENSMUSG00000026825,Dnm1,Gene Expression,0.44934047676422234,0.0,0.0,45856,14.05542304458024,2765
ENSMUSG00000033615,Cplx1,Gene Expression,0.4482901907451721,0.0,0.0,33257,10.645695876283348,2733
ENSMUSG00000033161,Atp1a1,Gene Expression,0.44807688354458947,0.0,0.0,27363,8.41162834335084,2690
ENSMUSG00000039953,Clstn1,Gene Expression,0.4479014411773137,0.0,0.0,36277,11.049263087835856,2752
ENSMUSG00000050711,Scg2,Gene Expression,0.4477378634017958,0.0,0.0,12711,4.155578002682632,2421
ENSMUSG00000074657,Kif5a,Gene Expression,0.4476947689136788,0.0,0.0,28454,10.339873986707744,2777
ENSMUSG00000027500,Stmn2,Gene Expression,0.4476066589372044,0.0,0.0,21459,6.404848624357516,2583
ENSMUSG00000075334,Rprm,Gene Expression,0.4475557660082422,0.0,0.0,3898,1.0823240522249173,1293
ENSMUSG00000040659,Efhd2,Gene Expression,0.4469089601203697,0.0,0.0,10645,3.210996875010184,2275
ENSMUSG00000026830,Ermn,Gene Expression,0.4458825108391684,0.0,0.0,2635,1.4040196168548342,1303
ENSMUSG00000037679,Inf2,Gene Expression,0.44479829310644436,0.0,0.0,8812,3.063146327115059,2275
ENSMUSG00000029544,Cabp1,Gene Expression,0.44382856112924546,0.0,0.0,9984,2.9416501545194427,2191
ENSMUSG00000022454,Nell2,Gene Expression,0.4435291480874503,0.0,0.0,10687,3.2336505445039845,2285
ENSMUSG00000031144,Syp,Gene Expression,0.44305952908656093,0.0,0.0,30080,9.1414169745199,2685
ENSMUSG00000036564,Ndrg4,Gene Expression,0.44272045186060993,0.0,0.0,84412,26.972236687099482,2791
ENSMUSG00000027834,Serpini1,Gene Expression,0.4413097767078134,0.0,0.0,11911,3.5691722385675373,2298
ENSMUSG00000032946,Rasgrp2,Gene Expression,0.4410529524693831,0.0,0.0,3234,1.1824188066522918,1491
ENSMUSG00000079523,Tmsb10,Gene Expression,0.4408483202145662,0.0,0.0,43209,13.963185525826542,2775
ENSMUSG00000074968,Ano3,Gene Expression,0.4391526091612361,0.0,0.0,5203,1.76622700427166,1871
ENSMUSG00000020297,Nsg2,Gene Expression,0.4387658980116161,0.0,0.0,25700,8.269575423960339,2656
ENSMUSG00000031517,Gpm6a,Gene Expression,0.4385273619907296,0.0,0.0,47309,14.771848942162512,2779
ENSMUSG00000030067,Foxp1,Gene Expression,0.4383042696137499,0.0,0.0,3790,1.2995330024081158,1577
ENSMUSG00000026576,Atp1b1,Gene Expression,0.43821916079759143,0.0,0.0,85853,27.007088872918132,2810
ENSMUSG00000029436,Mmp17,Gene Expression,0.43751032857897637,0.0,0.0,6671,1.9779541809584145,1913
ENSMUSG00000058672,Tubb2a,Gene Expression,0.4374378659605652,0.0,0.0,34637,11.020784742280538,2755
ENSMUSG00000027419,Pcsk2,Gene Expression,0.43724962575924253,0.0,0.0,14140,4.3500003265796545,2423
ENSMUSG00000050821,Fam131a,Gene Expression,0.4369955535406361,0.0,0.0,8939,2.6202130871226648,2137
ENSMUSG00000030549,Rhcg,Gene Expression,0.4366175837328167,0.0,0.0,357,0.11754861238183745,235
ENSMUSG00000031778,Cx3cl1,Gene Expression,0.4364209161835191,0.0,0.0,27245,8.567077507047424,2662
ENSMUSG00000019943,Atp2b1,Gene Expression,0.43543529259977776,0.0,0.0,22065,7.26122446776227,2627
ENSMUSG00000039323,Igfbp2,Gene Expression,0.4347005183004442,0.0,0.0,3992,1.5826073962435538,1567
ENSMUSG00000027849,Syt6,Gene Expression,0.43242781155375065,0.0,0.0,2373,0.8050982910396126,1142
ENSMUSG00000023192,Grm2,Gene Expression,0.4316550796210516,0.0,0.0,1835,0.5912541875831488,973
ENSMUSG00000064360,mt-Nd3,Gene Expression,0.4315355301507239,0.0,0.0,179518,65.12770830214367,2820
ENSMUSG00000010803,Gabra1,Gene Expression,0.4286241358348099,0.0,0.0,14158,4.365804549369058,2438
ENSMUSG00000037362,Ccn3,Gene Expression,0.4276189865240159,0.0,0.0,3144,0.9346872585909657,1227
ENSMUSG00000027220,Syt13,Gene Expression,0.42672294088153745,0.0,0.0,7186,2.1344179424417025,1980
ENSMUSG00000026787,Gad2,Gene Expression,0.4255426535637317,0.0,0.0,10759,3.730681421265672,2335
ENSMUSG00000027797,Dclk1,Gene Expression,0.4254021689251452,0.0,0.0,23653,7.243004633541848,2647
ENSMUSG00000063659,Zbtb18,Gene Expression,0.42460443090848693,0.0,0.0,6913,2.047746899607607,1946
ENSMUSG00000054728,Phactr1,Gene Expression,0.42426751802993135,0.0,0.0,11996,3.941449903932507,2431
ENSMUSG00000032011,Thy1,Gene Expression,0.4240260570674976,0.0,0.0,27688,8.608934984790158,2705
ENSMUSG00000003352,Cacnb3,Gene Expression,0.42393041692902056,0.0,0.0,10523,3.309929575083936,2383
ENSMUSG00000026579,F5,Gene Expression,0.4235544261877198,0.0,0.0,190,0.06796807374856058,81
ENSMUSG00000020140,Lgr5,Gene Expression,0.4233249950408484,0.0,0.0,684,0.23688949605809687,387
ENSMUSG00000030729,Pgm2l1,Gene Expression,0.423157568982901,0.0,0.0,8543,2.5352413796294724,2146
ENSMUSG00000027562,Car2,Gene Expression,0.42271005109157206,0.0,0.0,13505,6.18273804815953,2689
ENSMUSG00000020486,Sept4,Gene Expression,0.42198902746821637,0.0,0.0,9287,4.086014030642886,2467
ENSMUSG00000027347,Rasgrp1,Gene Expression,0.421203085332184,0.0,0.0,18216,5.564654502420008,2537
ENSMUSG00000026344,Lypd1,Gene Expression,0.4211078486131229,0.0,0.0,3247,0.9932730265475922,1267
ENSMUSG00000078307,AI593442,Gene Expression,0.41984926013067764,0.0,0.0,7420,2.5359701209496626,2146
ENSMUSG00000064367,mt-Nd5,Gene Expression,0.4196320011922626,0.0,0.0,91925,33.10550419997641,2819
ENSMUSG00000038255,Neurod2,Gene Expression,0.4184276462314782,0.0,0.0,2617,0.73673880722027,1141
ENSMUSG00000017491,Rarb,Gene Expression,0.4174130525531852,0.0,0.0,1139,0.4147842135067729,657
